WARNING:root:Insufficient stock of product D (available: 1, requested: 2) in the order {'A': 5, 'C': 1, 'B': 3, 'E': 0, 'D': 2, 'stream': u'stream-2', 'header': 15}
WARNING:root:Insufficient stock of product D (available: 1, requested: 4) in the order {'A': 1, 'C': 4, 'B': 1, 'E': 5, 'D': 4, 'stream': u'stream-2', 'header': 16}
WARNING:root:Insufficient stock of product D (available: 0, requested: 3) in the order {'A': 1, 'C': 5, 'B': 4, 'E': 3, 'D': 3, 'stream': u'stream-1', 'header': 24}
WARNING:root:Insufficient stock of product D (available: 0, requested: 5) in the order {'A': 0, 'C': 4, 'B': 4, 'E': 1, 'D': 5, 'stream': u'stream-1', 'header': 25}
WARNING:root:Insufficient stock of product D (available: 0, requested: 2) in the order {'A': 5, 'C': 2, 'B': 3, 'E': 4, 'D': 2, 'stream': u'stream-1', 'header': 26}
WARNING:root:Insufficient stock of product D (available: 0, requested: 5) in the order {'A': 2, 'C': 5, 'B': 3, 'E': 3, 'D': 5, 'stream': u'stream-2', 'header': 18}
WARNING:root:Insufficient stock of product D (available: 0, requested: 4) in the order {'A': 1, 'C': 5, 'B': 1, 'E': 0, 'D': 4, 'stream': u'stream-2', 'header': 19}
WARNING:root:Insufficient stock of product D (available: 0, requested: 3) in the order {'A': 3, 'C': 0, 'B': 3, 'E': 3, 'D': 3, 'stream': u'stream-2', 'header': 20}
WARNING:root:Insufficient stock of product D (available: 0, requested: 2) in the order {'A': 2, 'C': 2, 'B': 5, 'E': 2, 'D': 2, 'stream': u'stream-1', 'header': 27}
WARNING:root:Insufficient stock of product C (available: 1, requested: 3) in the order {'A': 5, 'C': 3, 'B': 2, 'E': 2, 'D': 1, 'stream': u'stream-2', 'header': 21}
WARNING:root:Insufficient stock of product D (available: 0, requested: 1) in the order {'A': 5, 'C': 3, 'B': 2, 'E': 2, 'D': 1, 'stream': u'stream-2', 'header': 21}
WARNING:root:Insufficient stock of product D (available: 0, requested: 3) in the order {'A': 4, 'C': 0, 'B': 0, 'E': 2, 'D': 3, 'stream': u'stream-1', 'header': 28}
WARNING:root:Insufficient stock of product C (available: 1, requested: 4) in the order {'A': 3, 'C': 4, 'B': 4, 'E': 4, 'D': 5, 'stream': u'stream-2', 'header': 22}
WARNING:root:Insufficient stock of product D (available: 0, requested: 5) in the order {'A': 3, 'C': 4, 'B': 4, 'E': 4, 'D': 5, 'stream': u'stream-2', 'header': 22}
WARNING:root:Insufficient stock of product C (available: 1, requested: 4) in the order {'A': 4, 'C': 4, 'B': 0, 'E': 5, 'D': 2, 'stream': u'stream-2', 'header': 23}
WARNING:root:Insufficient stock of product D (available: 0, requested: 2) in the order {'A': 4, 'C': 4, 'B': 0, 'E': 5, 'D': 2, 'stream': u'stream-2', 'header': 23}
WARNING:root:Insufficient stock of product D (available: 0, requested: 4) in the order {'A': 0, 'C': 1, 'B': 1, 'E': 3, 'D': 4, 'stream': u'stream-1', 'header': 29}
WARNING:root:Insufficient stock of product C (available: 0, requested: 1) in the order {'A': 4, 'C': 1, 'B': 3, 'E': 3, 'D': 1, 'stream': u'stream-1', 'header': 30}
WARNING:root:Insufficient stock of product D (available: 0, requested: 1) in the order {'A': 4, 'C': 1, 'B': 3, 'E': 3, 'D': 1, 'stream': u'stream-1', 'header': 30}
WARNING:root:Insufficient stock of product C (available: 0, requested: 5) in the order {'A': 4, 'C': 5, 'B': 5, 'E': 2, 'D': 1, 'stream': u'stream-1', 'header': 31}
WARNING:root:Insufficient stock of product D (available: 0, requested: 1) in the order {'A': 4, 'C': 5, 'B': 5, 'E': 2, 'D': 1, 'stream': u'stream-1', 'header': 31}
WARNING:root:Insufficient stock of product C (available: 0, requested: 3) in the order {'A': 1, 'C': 3, 'B': 5, 'E': 2, 'D': 3, 'stream': u'stream-2', 'header': 24}
WARNING:root:Insufficient stock of product D (available: 0, requested: 3) in the order {'A': 1, 'C': 3, 'B': 5, 'E': 2, 'D': 3, 'stream': u'stream-2', 'header': 24}
WARNING:root:Insufficient stock of product C (available: 0, requested: 5) in the order {'A': 4, 'C': 5, 'B': 1, 'E': 5, 'D': 3, 'stream': u'stream-2', 'header': 25}
WARNING:root:Insufficient stock of product D (available: 0, requested: 3) in the order {'A': 4, 'C': 5, 'B': 1, 'E': 5, 'D': 3, 'stream': u'stream-2', 'header': 25}
WARNING:root:Insufficient stock of product C (available: 0, requested: 1) in the order {'A': 2, 'C': 1, 'B': 5, 'E': 0, 'D': 1, 'stream': u'stream-1', 'header': 32}
WARNING:root:Insufficient stock of product D (available: 0, requested: 1) in the order {'A': 2, 'C': 1, 'B': 5, 'E': 0, 'D': 1, 'stream': u'stream-1', 'header': 32}
WARNING:root:Insufficient stock of product A (available: 1, requested: 5) in the order {'A': 5, 'C': 5, 'B': 4, 'E': 2, 'D': 5, 'stream': u'stream-2', 'header': 26}
WARNING:root:Insufficient stock of product B (available: 1, requested: 4) in the order {'A': 5, 'C': 5, 'B': 4, 'E': 2, 'D': 5, 'stream': u'stream-2', 'header': 26}
WARNING:root:Insufficient stock of product C (available: 0, requested: 5) in the order {'A': 5, 'C': 5, 'B': 4, 'E': 2, 'D': 5, 'stream': u'stream-2', 'header': 26}
WARNING:root:Insufficient stock of product D (available: 0, requested: 5) in the order {'A': 5, 'C': 5, 'B': 4, 'E': 2, 'D': 5, 'stream': u'stream-2', 'header': 26}
WARNING:root:Insufficient stock of product A (available: 1, requested: 2) in the order {'A': 2, 'C': 3, 'B': 4, 'E': 1, 'D': 4, 'stream': u'stream-1', 'header': 33}
WARNING:root:Insufficient stock of product B (available: 1, requested: 4) in the order {'A': 2, 'C': 3, 'B': 4, 'E': 1, 'D': 4, 'stream': u'stream-1', 'header': 33}
WARNING:root:Insufficient stock of product C (available: 0, requested: 3) in the order {'A': 2, 'C': 3, 'B': 4, 'E': 1, 'D': 4, 'stream': u'stream-1', 'header': 33}
WARNING:root:Insufficient stock of product D (available: 0, requested: 4) in the order {'A': 2, 'C': 3, 'B': 4, 'E': 1, 'D': 4, 'stream': u'stream-1', 'header': 33}
WARNING:root:Insufficient stock of product A (available: 1, requested: 3) in the order {'A': 3, 'C': 0, 'B': 3, 'E': 5, 'D': 1, 'stream': u'stream-1', 'header': 34}
WARNING:root:Insufficient stock of product B (available: 1, requested: 3) in the order {'A': 3, 'C': 0, 'B': 3, 'E': 5, 'D': 1, 'stream': u'stream-1', 'header': 34}
WARNING:root:Insufficient stock of product D (available: 0, requested: 1) in the order {'A': 3, 'C': 0, 'B': 3, 'E': 5, 'D': 1, 'stream': u'stream-1', 'header': 34}
WARNING:root:Insufficient stock of product A (available: 1, requested: 2) in the order {'A': 2, 'C': 0, 'B': 3, 'E': 4, 'D': 2, 'stream': u'stream-1', 'header': 35}
WARNING:root:Insufficient stock of product B (available: 1, requested: 3) in the order {'A': 2, 'C': 0, 'B': 3, 'E': 4, 'D': 2, 'stream': u'stream-1', 'header': 35}
WARNING:root:Insufficient stock of product D (available: 0, requested: 2) in the order {'A': 2, 'C': 0, 'B': 3, 'E': 4, 'D': 2, 'stream': u'stream-1', 'header': 35}
WARNING:root:Insufficient stock of product A (available: 1, requested: 4) in the order {'A': 4, 'C': 5, 'B': 3, 'E': 3, 'D': 1, 'stream': u'stream-2', 'header': 27}
WARNING:root:Insufficient stock of product B (available: 1, requested: 3) in the order {'A': 4, 'C': 5, 'B': 3, 'E': 3, 'D': 1, 'stream': u'stream-2', 'header': 27}
WARNING:root:Insufficient stock of product C (available: 0, requested: 5) in the order {'A': 4, 'C': 5, 'B': 3, 'E': 3, 'D': 1, 'stream': u'stream-2', 'header': 27}
WARNING:root:Insufficient stock of product D (available: 0, requested: 1) in the order {'A': 4, 'C': 5, 'B': 3, 'E': 3, 'D': 1, 'stream': u'stream-2', 'header': 27}
WARNING:root:Insufficient stock of product A (available: 1, requested: 2) in the order {'A': 2, 'C': 4, 'B': 2, 'E': 5, 'D': 1, 'stream': u'stream-2', 'header': 28}
WARNING:root:Insufficient stock of product B (available: 1, requested: 2) in the order {'A': 2, 'C': 4, 'B': 2, 'E': 5, 'D': 1, 'stream': u'stream-2', 'header': 28}
WARNING:root:Insufficient stock of product C (available: 0, requested: 4) in the order {'A': 2, 'C': 4, 'B': 2, 'E': 5, 'D': 1, 'stream': u'stream-2', 'header': 28}
WARNING:root:Insufficient stock of product D (available: 0, requested: 1) in the order {'A': 2, 'C': 4, 'B': 2, 'E': 5, 'D': 1, 'stream': u'stream-2', 'header': 28}
WARNING:root:Insufficient stock of product B (available: 1, requested: 4) in the order {'A': 0, 'C': 4, 'B': 4, 'E': 3, 'D': 1, 'stream': u'stream-1', 'header': 36}
WARNING:root:Insufficient stock of product C (available: 0, requested: 4) in the order {'A': 0, 'C': 4, 'B': 4, 'E': 3, 'D': 1, 'stream': u'stream-1', 'header': 36}
WARNING:root:Insufficient stock of product D (available: 0, requested: 1) in the order {'A': 0, 'C': 4, 'B': 4, 'E': 3, 'D': 1, 'stream': u'stream-1', 'header': 36}
WARNING:root:Insufficient stock of product B (available: 1, requested: 4) in the order {'A': 0, 'C': 0, 'B': 4, 'E': 2, 'D': 4, 'stream': u'stream-2', 'header': 29}
WARNING:root:Insufficient stock of product D (available: 0, requested: 4) in the order {'A': 0, 'C': 0, 'B': 4, 'E': 2, 'D': 4, 'stream': u'stream-2', 'header': 29}
WARNING:root:Insufficient stock of product B (available: 1, requested: 4) in the order {'A': 1, 'C': 4, 'B': 4, 'E': 2, 'D': 3, 'stream': u'stream-1', 'header': 37}
WARNING:root:Insufficient stock of product C (available: 0, requested: 4) in the order {'A': 1, 'C': 4, 'B': 4, 'E': 2, 'D': 3, 'stream': u'stream-1', 'header': 37}
WARNING:root:Insufficient stock of product D (available: 0, requested: 3) in the order {'A': 1, 'C': 4, 'B': 4, 'E': 2, 'D': 3, 'stream': u'stream-1', 'header': 37}
WARNING:root:Insufficient stock of product A (available: 0, requested: 1) in the order {'A': 1, 'C': 5, 'B': 0, 'E': 4, 'D': 3, 'stream': u'stream-2', 'header': 30}
WARNING:root:Insufficient stock of product C (available: 0, requested: 5) in the order {'A': 1, 'C': 5, 'B': 0, 'E': 4, 'D': 3, 'stream': u'stream-2', 'header': 30}
WARNING:root:Insufficient stock of product D (available: 0, requested: 3) in the order {'A': 1, 'C': 5, 'B': 0, 'E': 4, 'D': 3, 'stream': u'stream-2', 'header': 30}
WARNING:root:Insufficient stock of product B (available: 1, requested: 5) in the order {'A': 0, 'C': 4, 'B': 5, 'E': 4, 'D': 1, 'stream': u'stream-1', 'header': 38}
WARNING:root:Insufficient stock of product C (available: 0, requested: 4) in the order {'A': 0, 'C': 4, 'B': 5, 'E': 4, 'D': 1, 'stream': u'stream-1', 'header': 38}
WARNING:root:Insufficient stock of product D (available: 0, requested: 1) in the order {'A': 0, 'C': 4, 'B': 5, 'E': 4, 'D': 1, 'stream': u'stream-1', 'header': 38}
WARNING:root:Insufficient stock of product A (available: 0, requested: 5) in the order {'A': 5, 'C': 4, 'B': 1, 'E': 5, 'D': 0, 'stream': u'stream-2', 'header': 31}
WARNING:root:Insufficient stock of product C (available: 0, requested: 4) in the order {'A': 5, 'C': 4, 'B': 1, 'E': 5, 'D': 0, 'stream': u'stream-2', 'header': 31}
WARNING:root:Insufficient stock of product B (available: 0, requested: 2) in the order {'A': 0, 'C': 1, 'B': 2, 'E': 0, 'D': 2, 'stream': u'stream-2', 'header': 32}
WARNING:root:Insufficient stock of product C (available: 0, requested: 1) in the order {'A': 0, 'C': 1, 'B': 2, 'E': 0, 'D': 2, 'stream': u'stream-2', 'header': 32}
WARNING:root:Insufficient stock of product D (available: 0, requested: 2) in the order {'A': 0, 'C': 1, 'B': 2, 'E': 0, 'D': 2, 'stream': u'stream-2', 'header': 32}
WARNING:root:Insufficient stock of product A (available: 0, requested: 1) in the order {'A': 1, 'C': 1, 'B': 5, 'E': 3, 'D': 5, 'stream': u'stream-2', 'header': 33}
WARNING:root:Insufficient stock of product B (available: 0, requested: 5) in the order {'A': 1, 'C': 1, 'B': 5, 'E': 3, 'D': 5, 'stream': u'stream-2', 'header': 33}
WARNING:root:Insufficient stock of product C (available: 0, requested: 1) in the order {'A': 1, 'C': 1, 'B': 5, 'E': 3, 'D': 5, 'stream': u'stream-2', 'header': 33}
WARNING:root:Insufficient stock of product D (available: 0, requested: 5) in the order {'A': 1, 'C': 1, 'B': 5, 'E': 3, 'D': 5, 'stream': u'stream-2', 'header': 33}
WARNING:root:Insufficient stock of product E (available: 2, requested: 3) in the order {'A': 1, 'C': 1, 'B': 5, 'E': 3, 'D': 5, 'stream': u'stream-2', 'header': 33}
WARNING:root:Insufficient stock of product A (available: 0, requested: 1) in the order {'A': 1, 'C': 1, 'B': 2, 'E': 4, 'D': 1, 'stream': u'stream-1', 'header': 39}
WARNING:root:Insufficient stock of product B (available: 0, requested: 2) in the order {'A': 1, 'C': 1, 'B': 2, 'E': 4, 'D': 1, 'stream': u'stream-1', 'header': 39}
WARNING:root:Insufficient stock of product C (available: 0, requested: 1) in the order {'A': 1, 'C': 1, 'B': 2, 'E': 4, 'D': 1, 'stream': u'stream-1', 'header': 39}
WARNING:root:Insufficient stock of product D (available: 0, requested: 1) in the order {'A': 1, 'C': 1, 'B': 2, 'E': 4, 'D': 1, 'stream': u'stream-1', 'header': 39}
WARNING:root:Insufficient stock of product E (available: 2, requested: 4) in the order {'A': 1, 'C': 1, 'B': 2, 'E': 4, 'D': 1, 'stream': u'stream-1', 'header': 39}
WARNING:root:Insufficient stock of product B (available: 0, requested: 1) in the order {'A': 0, 'C': 1, 'B': 1, 'E': 1, 'D': 0, 'stream': u'stream-2', 'header': 34}
WARNING:root:Insufficient stock of product C (available: 0, requested: 1) in the order {'A': 0, 'C': 1, 'B': 1, 'E': 1, 'D': 0, 'stream': u'stream-2', 'header': 34}
WARNING:root:Insufficient stock of product A (available: 0, requested: 2) in the order {'A': 2, 'C': 5, 'B': 1, 'E': 3, 'D': 1, 'stream': u'stream-1', 'header': 40}
WARNING:root:Insufficient stock of product B (available: 0, requested: 1) in the order {'A': 2, 'C': 5, 'B': 1, 'E': 3, 'D': 1, 'stream': u'stream-1', 'header': 40}
